company,deal_name,asset_type,filing_date,cutoff_date,issuing_entity_cik,registration_number,depositor,sponsor_servicer,aggregate_principal_amount,total_principal_balance,number_of_receivables,avg_principal_balance,wa_apr,wa_fico,wa_original_term,wa_remaining_term,aggregate_securitization_value,aggregate_residual_value,total_trust_receivables,number_of_accounts,number_of_loans,number_of_properties,wa_ltv,wa_dscr,first_payment_date,credit_enhancement_types,filename
AFS_SENSUB,GM Financial Consumer Automobile Receivables Trust 2026-2,auto_loans_subprime,2026-04-03,"March 9, 2026",0002116462,333-275606,AFS SenSub Corp.,"covenants. As a result of such a repurchase, the affected automobile loan contracts would be repurchased from the issuing entity, the outstanding princ",$1269810000,$1334985028.69,,,6.81,,71,64,,,,,,,,,,"reserve account, overcollateralization, subordination, excess interest/spread, yield supplement OC",AFS_SENSUB_CORP__2026-04-03_424H_clean.txt
AFS_SENSUB,GM Financial Consumer Automobile Receivables Trust 2026-3,auto_loans_subprime,2026-07-02,"June 8, 2026",0002138743,333-275606,AFS SenSub Corp.,"covenants. As a result of such a repurchase, the affected automobile loan contracts would be repurchased from the issuing entity, the outstanding princ",$1000120000,$1078805027.80,,,6.63,,71,59,,,,,,,,,"August 17, 2026","reserve account, overcollateralization, subordination, excess interest/spread, yield supplement OC",AFS_SENSUB_CORP__2026-07-02_424H_clean.txt
ALLY,ALLY AUTO RECEIVABLES TRUST 2024-1,auto_loans,2024-02-28,"February 1, 2024",0002010413,333-262894,ASSETS LLC,,$1059160000,$36174426,,,,734.63,,,,,,,,,,,"April 15, 2024","reserve account, overcollateralization, excess interest/spread",Ally_Auto_Assets_LLC_2024-02-28_424H_clean.txt
ALLY,ALLY AUTO RECEIVABLES TRUST 2024-2,auto_loans,2024-09-19,"August 1, 2024",0002035124,333-262894,AUTO ASSETS LLC,,$1052430000,$35825790,,,,734.76,,,,,,,,,,,"October 15, 2024","reserve account, overcollateralization, excess interest/spread",Ally_Auto_Assets_LLC_2024-09-19_424H_clean.txt
ALLY,ALLY AUTO RECEIVABLES TRUST 2025-1,auto_loans,2025-10-01,"September 1, 2025",0002087070,333-286053,AUTO ASSETS LLC,"delinquency ratio for the preceding annual period, the sponsor used the delinquency ratio for such preceding annual period. The maximum of the maximum delinquency ratio was utilized to account for typical seasonal inc",$1059170000,$34852067.87,,,,734.97,,,,,,,,,,,"November 17, 2025","reserve account, overcollateralization, excess interest/spread",Ally_Auto_Assets_LLC_2025-10-01_424H_clean.txt
ALLY,ALLY AUTO RECEIVABLES TRUST 2026-1,auto_loans,2026-02-26,"February 1, 2026",0002111835,333-286053,AUTO ASSETS LLC,,$1059100000,$32139305.98,,,,734.12,,,,,,,,,,,"April 15, 2026","reserve account, overcollateralization, excess interest/spread",Ally_Auto_Assets_LLC_2026-02-26_424H_clean.txt
AMERICAN_EXPRESS,,credit_card_revolving,2024-04-11,,,333-263871,American Express Receivables Financing Corporation III LLC,III LLC,$250000000,,,,,,,,,,$26842786830,,,,,,"May 15, 2024",subordination,AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2024-04-11_424H_clean.txt
AMERICAN_EXPRESS,,credit_card_revolving,2024-07-11,,,333-263871,American Express Receivables Financing Corporation III LLC,American Express Receivables Financing Corporation III LLC,$500000000,,,,,,,,,,$27271209442,14817753,,,,,"August 15, 2024",subordination,AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2024-07-11_424H_clean.txt
AMERICAN_EXPRESS,,credit_card_revolving,2025-01-30,,,333-263871,American Express Receivables Financing Corporation III LLC,American Express Receivables Financing Corporation III LLC,$500000000,,,,,,,,,,$28277897524,,,,,,"April 1, 2026",subordination,AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-01-30_424H_clean.txt
AMERICAN_EXPRESS,,credit_card_revolving,2025-05-01,,,333-263871,American Express Receivables Financing Corporation III LLC,American Express Receivables Financing Corporation III LLC,$250000000,,,,,,,,,,$26666976836,,,,,,"April 1, 2026",subordination,AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-05-01_424H_clean.txt
