0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SDART 2024-4,,SDART 2024-3,,SDART 2024-2,,SDART 2024-1,,SDART 2023-6,,SDART 2023-5,,SDART 2023-4,,SDART 2023-3,,SDART 2023-2,,SDART 2023-1,,SDART 2022-7,,SDART 2022-6,,SDART 2022-5,,SDART 2022-4,,SDART 2022-3
Current Principal Balance (% of  Aggregate Principal Balance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501 - 550,,34.21%,,33.17%,,35.00%,,33.95%,,32.86%,,35.90%,,32.01%,,37.74%,,39.47%,,32.97%,,35.70%,,31.80%,,32.25%,,32.01%,,32.00%
551 - 600,,21.71%,,23.27%,,24.34%,,22.36%,,20.28%,,21.07%,,20.36%,,21.33%,,21.57%,,21.29%,,19.42%,,19.53%,,20.90%,,21.22%,,21.68%
601 - 650,,8.18%,,9.58%,,8.65%,,8.93%,,8.99%,,8.60%,,9.54%,,8.28%,,8.60%,,9.96%,,8.97%,,10.05%,,10.02%,,7.63%,,7.61%
651 - 700,,2.97%,,3.24%,,3.03%,,3.44%,,3.20%,,3.02%,,3.43%,,2.71%,,2.64%,,3.34%,,3.21%,,3.91%,,3.89%,,4.30%,,4.37%
701 - 750,,0.91%,,0.90%,,0.99%,,1.20%,,1.20%,,0.90%,,1.19%,,0.83%,,0.80%,,1.12%,,1.31%,,1.76%,,1.76%,,1.67%,,1.85%
751+,,0.51%,,0.26%,,0.26%,,0.38%,,0.42%,,0.34%,,0.74%,,0.40%,,0.26%,,0.58%,,0.75%,,1.16%,,1.30%,,1.08%,,1.32%
Not Available(6),,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICO® Score (% of Aggregate Principal  Balance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - 500,,3.11%,,3.41%,,3.56%,,3.32%,,3.44%,,3.21%,,4.03%,,3.39%,,3.42%,,4.75%,,4.37%,,4.66%,,5.51%,,3.75%,,5.03%
501 - 550,,12.75%,,12.88%,,12.84%,,12.59%,,12.80%,,12.25%,,12.90%,,12.32%,,12.44%,,14.02%,,14.48%,,15.03%,,15.04%,,15.19%,,15.80%
551 - 600,,27.73%,,27.05%,,26.32%,,26.34%,,29.87%,,27.56%,,25.43%,,27.41%,,28.14%,,27.01%,,28.21%,,29.67%,,25.81%,,29.70%,,26.46%
601 - 650,,29.68%,,29.02%,,30.20%,,30.55%,,27.95%,,31.24%,,34.74%,,32.37%,,31.68%,,27.80%,,28.77%,,24.59%,,26.96%,,27.52%,,27.33%
651 and higher,,15.10%,,15.73%,,17.26%,,16.86%,,15.17%,,16.53%,,15.55%,,15.51%,,14.54%,,15.64%,,14.50%,,16.96%,,18.00%,,16.35%,,17.55%
No FICO® Score(7),,11.63%,,11.90%,,9.82%,,10.35%,,10.77%,,9.22%,,7.35%,,9.00%,,9.78%,,10.77%,,9.66%,,9.09%,,8.68%,,7.49%,,7.84%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTV Range (% of Aggregate Principal  Balance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than 100.00%,,28.36%,,30.31%,,26.86%,,28.33%,,31.42%,,29.69%,,28.95%,,29.77%,,29.87%,,31.49%,,31.59%,,33.53%,,32.61%,,33.93%,,34.75%
100.00% - 109.99%,,20.34%,,20.44%,,19.76%,,19.73%,,19.04%,,20.35%,,20.59%,,21.14%,,21.45%,,23.78%,,21.28%,,23.24%,,23.99%,,22.50%,,21.80%
110.00% - 119.99%,,22.39%,,21.33%,,22.52%,,21.74%,,21.10%,,22.26%,,22.10%,,22.49%,,21.98%,,24.12%,,23.58%,,22.09%,,22.93%,,20.69%,,21.09%
120.00% - 129.99%,,15.67%,,14.85%,,16.21%,,16.04%,,15.44%,,15.71%,,15.75%,,15.16%,,14.57%,,14.30%,,15.37%,,12.95%,,11.47%,,13.23%,,12.57%
130.00% - 139.99%,,11.70%,,11.41%,,12.71%,,12.14%,,11.27%,,9.18%,,9.69%,,10.33%,,9.29%,,5.81%,,7.50%,,7.59%,,7.93%,,8.48%,,8.96%
140.00% - 149.99%,,1.53%,,1.65%,,1.94%,,2.01%,,1.72%,,2.80%,,2.93%,,1.11%,,2.83%,,0.50%,,0.67%,,0.60%,,1.05%,,1.15%,,0.82%
150.00% and greater,,0.01%,,0.00%,,0.00%,,0.01%,,0.00%,,0.01%,,0.00%,,0.00%,,0.01%,,0.00%,,0.00%,,0.00%,,0.01%,,0.01%,,0.02%
