0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,,,,,,,,,,,,,,,,,,,,,
,,SDART 2025-3,,SDART 2025-2,,SDART 2025-1,,SDART 2024-5,,SDART 2024-4,,SDART 2024-3,,SDART 2024-2,,SDART 2024-1,,SDART 2023-6,,SDART 2023-5,,SDART 2023-4
Current Principal Balance (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,,,,,
1 - 500,,3.77%,,3.10%,,3.31%,,3.87%,,3.11%,,3.41%,,3.56%,,3.32%,,3.44%,,3.21%,,4.03%
501 - 550,,14.45%,,12.30%,,12.54%,,12.00%,,12.75%,,12.88%,,12.84%,,12.59%,,12.80%,,12.25%,,12.90%
551 - 600,,26.83%,,27.25%,,26.94%,,25.92%,,27.73%,,27.05%,,26.32%,,26.34%,,29.87%,,27.56%,,25.43%
601 - 650,,24.38%,,30.39%,,29.04%,,28.38%,,29.68%,,29.02%,,30.20%,,30.55%,,27.95%,,31.24%,,34.74%
651 and higher,,16.79%,,15.17%,,15.70%,,16.19%,,15.10%,,15.73%,,17.26%,,16.86%,,15.17%,,16.53%,,15.55%
No FICO® Score(7),,13.78%,,11.78%,,12.47%,,13.63%,,11.63%,,11.90%,,9.82%,,10.35%,,10.77%,,9.22%,,7.35%
,,,,,,,,,,,,,,,,,,,,,,
LTV Range (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,,,,,
Less than 100.00%,,28.64%,,26.42%,,28.47%,,29.31%,,28.36%,,30.31%,,26.86%,,28.33%,,31.42%,,29.69%,,28.95%
100.00% - 109.99%,,20.38%,,20.00%,,19.92%,,20.38%,,20.34%,,20.44%,,19.76%,,19.73%,,19.04%,,20.35%,,20.59%
110.00% - 119.99%,,21.16%,,22.36%,,21.86%,,21.64%,,22.39%,,21.33%,,22.52%,,21.74%,,21.10%,,22.26%,,22.10%
120.00% - 129.99%,,15.70%,,16.53%,,16.01%,,15.38%,,15.67%,,14.85%,,16.21%,,16.04%,,15.44%,,15.71%,,15.75%
130.00% - 139.99%,,12.47%,,12.97%,,12.03%,,11.57%,,11.70%,,11.41%,,12.71%,,12.14%,,11.27%,,9.18%,,9.69%
140.00% - 149.99%,,1.65%,,1.71%,,1.70%,,1.70%,,1.53%,,1.65%,,1.94%,,2.01%,,1.72%,,2.80%,,2.93%
150.00% and greater,,0.01%,,0.01%,,0.00%,,0.01%,,0.01%,,0.00%,,0.00%,,0.01%,,0.00%,,0.01%,,0.00%
